Time,Estimated_Height,Estimated_Speed,Estimated_Accel
373,89.127899,-3.089669,-0.958785
374,89.116554,-3.078703,-0.922697
375,89.120605,-3.074105,-0.969578
376,89.107895,-3.076672,-1.009228
377,89.088943,-3.081970,-1.042605
378,89.088959,-3.079618,-1.070236
379,89.089149,-3.077372,-1.093412
380,89.087570,-3.063286,-1.035447
381,89.084190,-3.062531,-1.064309
382,89.076889,-3.088974,-1.243477
383,89.087746,-3.070450,-1.161081
384,89.080040,-3.059323,-1.092331
385,89.068481,-3.074984,-1.189625
386,89.071083,-3.072452,-1.193516
387,89.068611,-3.072047,-1.196879
388,89.068298,-3.058068,-1.122217
389,89.070160,-3.030524,-0.983694
390,89.070290,-3.015770,-0.943408
391,89.062469,-3.016964,-0.987218
392,89.071999,-3.011278,-1.023634
393,89.064575,-3.012793,-1.054508
394,89.055344,-3.027910,-1.157882
395,89.065353,-3.022792,-1.166776
396,89.071182,-3.044933,-1.329203
397,89.065956,-3.034021,-1.233325
398,89.069054,-3.006881,-1.076886
399,89.066132,-2.981723,-0.945792
400,89.065674,-2.980362,-0.989098
401,89.065437,-2.979160,-1.025420
402,89.065384,-2.978093,-1.055885
403,89.074661,-2.948211,-0.927960
404,89.078003,-2.958357,-1.051529
405,89.064392,-2.975962,-1.155500
406,89.076691,-2.970577,-1.164766
407,89.060478,-2.964255,-1.095646
408,89.061089,-2.963484,-1.114789
409,89.067833,-2.947598,-1.053289
410,89.060707,-2.949983,-1.079418
411,89.070763,-2.945448,-1.101005
412,89.063812,-2.948044,-1.119441
413,89.074005,-2.943692,-1.134576
414,89.067154,-2.946449,-1.147600
415,89.063454,-2.960667,-1.235905
416,89.075768,-2.943186,-1.154780
417,89.064400,-2.935187,-1.087193
418,89.071846,-2.919240,-1.030145
419,89.077324,-2.916720,-1.059780
420,89.064316,-2.921949,-1.084993
421,89.053635,-2.913577,-1.028654
422,89.039261,-2.906526,-0.981471
423,89.021156,-2.926274,-1.096851
424,89.021873,-2.938679,-1.193263
425,89.026680,-2.924329,-1.119167
426,89.020767,-2.939590,-1.212111
427,89.009117,-2.919603,-1.059431
428,88.990677,-2.914297,-1.007362
429,88.989677,-2.901650,-0.963354
430,89.003365,-2.908362,-1.081048
431,89.010307,-2.918371,-1.179899
432,89.021271,-2.901698,-1.107852
433,89.026009,-2.925554,-1.279871
434,89.008415,-2.959149,-1.424578
435,89.011925,-2.959013,-1.390655
436,88.998192,-2.965750,-1.362530
437,89.003578,-2.951711,-1.261126
438,89.000626,-2.953444,-1.253675
439,88.997658,-2.955118,-1.247424
440,88.989594,-2.958825,-1.242277
441,89.000687,-2.941901,-1.160150
442,89.009659,-2.938346,-1.168751
443,89.015511,-2.923443,-1.098586
444,89.021416,-2.908340,-1.039738
445,89.025360,-2.906641,-1.067863
446,89.058365,-2.893228,-1.090900
447,89.053329,-2.908389,-1.188401
448,89.080940,-2.897802,-1.192113
449,89.093208,-2.880931,-1.118085
450,89.079613,-2.887181,-1.133935
451,89.081223,-2.899929,-1.224377
452,89.079689,-2.901564,-1.222854
453,89.096764,-2.895557,-1.221218
454,89.111526,-2.903281,-1.297336
455,89.138908,-2.893434,-1.283499
456,89.130150,-2.898422,-1.272589
457,89.138489,-2.896294,-1.263107
458,89.146652,-2.894216,-1.255158
459,89.166611,-2.887298,-1.248266
460,89.219925,-2.879507,-1.319292
461,89.312286,-2.830792,-1.223246
462,89.350677,-2.804280,-1.143742
463,89.391670,-2.789341,-1.154459
464,89.421280,-2.779312,-1.163676
465,89.446358,-2.758603,-1.094059
