Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
0,138:253:65535:0,1,-166,930,-500,-1090024314,-537052528,25480,1090079824,537067088,0,-922,-102,-323,1979,101031,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-68,979,-500,-1090028304,-537058758,27720,1090079824,537067088,0,-949,-76,-318,1979,101043,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1028,-598,-1090026746,-537060088,28140,1090080016,537067088,0,-958,-56,-290,1979,101031,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-68,1028,-402,-1090034044,-537061418,25970,1090079824,537067088,0,-953,-53,-279,1979,101043,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,979,-402,-1090039906,-537057428,21140,1090080016,537067088,0,-928,-56,-288,1979,101031,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,979,-451,-1090026204,-537061418,23730,1090079824,537067088,0,-926,-55,-313,1979,101020,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,1028,-451,-1090042198,-537057848,26810,1090079648,537067088,0,-974,-67,-330,1979,101031,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,979,-451,-1090045454,-537059668,15820,1090079824,537067088,0,-971,-81,-346,1979,101031,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-68,1028,-500,-1090043704,-537060998,10080,1090079824,537067088,0,-929,-102,-357,1979,101020,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-166,930,-549,-1090043038,-537049238,7000,1090079648,537067088,0,-879,-102,-376,1979,101043,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,881,-549,-1090040816,-537076468,6160,1090080016,537067088,0,-863,-93,-374,1979,101031,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,881,-500,-1090034884,-537079618,9240,1090079824,537067088,0,-849,-102,-362,1979,101031,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,832,-500,-1090033134,-537071148,5670,1090079824,537067088,0,-814,-104,-347,1979,101043,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,832,-500,-1090029826,-537076048,7000,1090080016,537067088,0,-794,-89,-320,1979,101031,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,832,-451,-1090027884,-537076958,6160,1090079824,537067088,0,-791,-73,-285,1979,101031,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-68,881,-354,-1090028724,-537073808,14070,1090079824,537067088,0,-797,-65,-261,1979,101031,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-68,832,-402,-1090027884,-537081368,7490,1090079824,537067088,0,-764,-40,-231,1979,101043,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-68,832,-354,-1090030246,-537086268,7000,1090080016,537067088,0,-752,-33,-203,1979,101043,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,832,-305,-1090025416,-537094248,4830,1090080016,537067088,0,-740,-61,-152,1979,101031,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,784,-305,-1090016404,-537092498,840,1090079824,537067088,0,-734,-85,-80,1979,101043,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,784,-61,-1090019256,-537088018,-4410,1090080016,537067088,0,-698,-110,0,1979,101043,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,735,-110,-1090034656,-537082278,10990,1090080016,537067088,0,-699,-124,33,1979,101043,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-166,735,-12,-1090068046,-537088928,22890,1090080016,537067088,0,-740,-108,-23,1979,101031,65384,8194,1,0,16,1,536871680,
