18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:10:01.264: 0,0:0:0:3445,1,-117,-924,85,1260,-3360,3780,-1063236986,0,1,976,-14,262,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:10:01.374: 8,0:0:0:3445,1,29,-924,134,840,-2030,-210,-1063238686,0,1,988,0,216,1858,99824,0,0,65344,8194,-1392510048,-1,0,
18:10:01.482: 0,0:0:0:3445,1,-68,-875,134,4340,-6860,1960,-1063235597,0,1,995,2,243,1858,99824,0,0,65344,8194,-1392510048,-1,0,
18:10:01.696: 32,0:0:0:3445,1,-68,-875,134,2590,-7280,-16380,-1063235597,0,1,1003,-32,258,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:10:01.807: 32,0:0:0:3445,1,29,-826,134,4340,-3360,-210,-1063238686,0,1,996,-16,213,1857,99820,0,0,65344,8194,-1392510048,-1,0,
18:10:01.916: 0,0:0:0:3445,1,-68,-875,85,3430,-4200,-210,-1063237266,0,1,988,-6,247,1857,99820,0,0,65344,8194,-1392510048,-1,0,
18:10:02.130: 32,0:0:0:3445,1,-68,-875,36,-980,-2030,2450,-1063237266,0,1,988,-8,156,1856,99816,0,0,65344,8194,-1392510048,-1,0,
18:10:02.241: 8,0:0:0:3445,1,-19,-875,231,3850,-6440,-17710,-1063238934,0,1,976,-28,253,1855,99812,0,0,65344,8194,-1392510048,-1,0,
18:10:02.350: 0,0:0:0:3445,1,-117,-826,134,16940,-4690,1120,-1063240602,0,1,970,-20,239,1855,99812,0,0,65344,8194,-1392510048,-1,0,
18:10:02.567: 0,0:0:0:3445,1,-19,-875,134,840,-4200,3360,-1063240602,0,1,970,-37,290,1856,99804,0,0,65344,8194,-1392510048,-1,0,
18:10:02.678: 32,0:0:0:3445,1,78,-875,36,-490,-1540,-1050,-1063242301,0,1,991,1,189,1856,99816,0,0,65344,8194,-1392510048,-1,0,
